"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
2.126427987E3;2.743637323E0;3.507354736E0;8.285975456E0
2.126430348E3;2.801095486E0;3.696488619E0;8.405680656E0
2.126432709E3;2.813066006E0;3.495384216E0;8.194999695E0
2.126435069E3;2.896859646E0;3.677335739E0;8.307522774E0
2.126437431E3;2.853765726E0;3.504960537E0;8.199788094E0
2.126439792E3;2.923194647E0;3.595936298E0;8.317099571E0
2.126442153E3;2.985441208E0;3.531295776E0;8.357798576E0
2.126444514E3;3.057264090E0;3.605512857E0;8.527779579E0
2.126446875E3;3.148239851E0;3.545660257E0;8.580450058E0
2.126449236E3;3.203304291E0;3.591148138E0;8.666637421E0
2.126451596E3;3.174575090E0;3.571995497E0;8.702548981E0
2.126453957E3;3.150634050E0;3.509748936E0;8.661849022E0
2.126456318E3;3.064446449E0;3.660577059E0;8.783948898E0
2.126458679E3;3.057264090E0;3.526507616E0;8.673819542E0
2.126461040E3;3.157816410E0;3.643818378E0;8.666637421E0
2.126463401E3;3.066840649E0;3.583965778E0;8.527779579E0
2.126465761E3;3.114722490E0;3.725217819E0;8.592420578E0
2.126468122E3;3.136269331E0;3.574389458E0;8.499051094E0
2.126470483E3;3.191333771E0;3.694094419E0;8.623543739E0
2.126472844E3;3.234427452E0;3.610301018E0;8.568479538E0
2.126475205E3;3.279915333E0;3.653394699E0;8.659455299E0
2.126477565E3;3.205698252E0;3.579177618E0;8.702548981E0
2.126479925E3;3.193727732E0;3.636636019E0;8.846195221E0
2.126482286E3;3.179363251E0;3.567207098E0;8.915623665E0
2.126484646E3;3.181757212E0;3.588754177E0;8.910835266E0
2.126487007E3;3.224851131E0;3.576783657E0;8.867741585E0
2.126489368E3;3.212880611E0;3.552842617E0;8.822254181E0
2.126491729E3;3.186545372E0;3.550448418E0;8.824647903E0
2.126494090E3;3.222456932E0;3.538477898E0;8.757613182E0
2.126496451E3;3.212880611E0;3.586359978E0;8.755219460E0
2.126498811E3;3.217668772E0;3.569601297E0;8.702548981E0
2.126501172E3;3.253580332E0;3.586359978E0;8.692973137E0
