"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.952515690E-1;1.283236980E0;4.553575993E0;7.919678688E0;9.225132085E0
6.976070900E-1;1.340695381E0;4.330924511E0;8.841406822E0;9.936037732E0
6.999634440E-1;1.091709018E0;4.721162796E0;1.098173141E1;1.200331752E1
7.023193300E-1;6.727417707E-1;4.014903545E0;1.119959450E1;1.191649902E1
7.046755800E-1;8.379346132E-2;3.081205130E0;1.104876614E1;1.147066169E1
7.070320900E-1;-4.764256477E-1;3.277521133E0;1.186754799E1;1.232103167E1
7.093879750E-1;-8.618755341E-1;3.457078695E0;1.232721424E1;1.283177437E1
7.117440170E-1;-1.003127337E0;3.646212339E0;1.238467312E1;1.294917979E1
7.140996940E-1;-7.038650513E-1;3.682123899E0;1.164729023E1;1.223571952E1
7.164562570E-1;-1.484341323E-1;3.804223061E0;1.054361153E1;1.120990142E1
7.188133920E-1;3.567207158E-1;4.180096626E0;9.358531952E0;1.025585578E1
7.211693300E-1;5.650073290E-1;4.881567478E0;8.499051094E0;9.817474412E0
7.235250590E-1;4.596669674E-1;5.403481007E0;7.230178356E0;9.037941125E0
7.258809960E-1;1.604046226E-1;5.640496731E0;5.396298885E0;7.807750936E0
7.282368820E-1;-3.567207158E-1;6.363514423E0;4.752285957E0;7.950206746E0
7.305932880E-1;-7.828702927E-1;6.186351299E0;3.263156652E0;7.037898808E0
7.329491730E-1;-9.313044548E-1;6.030735016E0;2.755607605E0;6.695555697E0
7.353053710E-1;-9.839745760E-1;6.629259586E0;4.534422874E0;8.091741434E0
7.376616210E-1;-8.355404735E-1;6.179169178E0;5.453756809E0;8.283943683E0
7.400178710E-1;-2.561685741E-1;5.496850967E0;5.975670815E0;8.123400432E0
7.423738090E-1;4.764256477E-1;5.077883720E0;7.234966755E0;8.851927949E0
7.447295380E-1;1.043827057E0;5.080277443E0;9.712859154E0;1.101083225E1
7.470857360E-1;1.343089461E0;4.362048149E0;1.139591026E1;1.227591643E1
7.494422460E-1;1.390971422E0;3.387649775E0;1.180769539E1;1.236255002E1
7.517980800E-1;1.058191657E0;3.251186132E0;1.245410156E1;1.291489940E1
7.541541730E-1;3.519325256E-1;3.210486412E0;1.270308781E1;1.310723157E1
7.565101110E-1;-3.184151351E-1;3.174575090E0;1.261929512E1;1.301637140E1
7.588664650E-1;-6.607712507E-1;3.220062971E0;1.219075108E1;1.262615682E1
7.612231840E-1;-6.990768313E-1;3.284703493E0;1.141027451E1;1.189421497E1
7.635801630E-1;-6.344361901E-1;3.323009014E0;1.002648544E1;1.058183862E1
7.659365690E-1;-4.093908966E-1;4.259101868E0;9.408808708E0;1.033601620E1
7.682925590E-1;-2.872918546E-2;5.185617924E0;8.889288902E0;1.029130292E1
7.706490170E-1;2.753213644E-1;5.511215210E0;7.878979206E0;9.619127210E0
7.730050590E-1;3.351738453E-1;5.415451527E0;6.555042267E0;8.509291149E0
